label	model	activation	n	rel_h1_mean	rel_h1_sd	rel_grad_mean	rel_grad_sd	neurons_mean	neurons_sd	score_mean	score_sd	hjb_mean_mean	hjb_mean_sd	hjb_max_mean	hjb_max_sd	near_grad_mean	far_grad_mean	C_mean	C_sd
PDPA_v1_semiconcave__abs_act	PDPA_v1_semiconcave	abs_act	15	0.1137893953	0.009513530303	0.1359413667	0.01132972928	116.2	7.002040519	13.2252278	1.368417725	0.01549359513	0.0006222673777	0.310064516	0.02032813659	0.08266442973	0.0208668616	0.4385501853	0.02061868072
PDPA_v2_signed__abs_act	PDPA_v2_signed	abs_act	15	0.1109806892	0.01836937703	0.1326556657	0.02192288289	128.0666667	9.027471301	14.14635601	2.129360942	0.01408187648	0.001106372817	0.2737398772	0.02392093709	0.07188264074	0.02176947219	nan	nan
PDPA_v1_semiconcave__leaky_relu	PDPA_v1_semiconcave	leaky_relu	15	0.111693076	0.006068307557	0.1335006813	0.00727510697	111	9.501879513	12.41643253	1.438238346	0.0143615856	0.0006776390953	0.2993594753	0.02494669826	0.07848322327	0.02077667473	0.5312394433	0.02105427403
PDPA_v2_signed__leaky_relu	PDPA_v2_signed	leaky_relu	15	0.1260965714	0.02081162897	0.1506606115	0.02476698469	131.4	5.234500931	16.54161036	2.546070647	0.01500943114	0.001154763118	0.2934860381	0.02961679871	0.08171293883	0.02296360328	nan	nan
PDPA_v1_semiconcave__relu	PDPA_v1_semiconcave	relu	15	0.1173666709	0.01198139646	0.1403024777	0.01433094623	112.0666667	6.839660253	13.12256009	1.226187823	0.01436762187	0.0005374543677	0.307915677	0.02293914463	0.08271863104	0.02061728126	0.5325141938	0.01614653372
PDPA_v2_signed__relu	PDPA_v2_signed	relu	15	0.1266515936	0.03126517072	0.1513828627	0.03725784542	123.2666667	14.10403522	15.31302062	2.828059131	0.015261522	0.002366441537	0.301565512	0.0362268179	0.08168128794	0.02398988667	nan	nan
