label	n	rel_h1_mean	rel_h1_sd	rel_grad_mean	rel_grad_sd	neurons_mean	neurons_sd	score_mean	score_sd	hjb_mean_mean	hjb_mean_sd	hjb_max_mean	hjb_max_sd	near_grad_mean	far_grad_mean	C_mean	C_sd	gammas
v1_leaky_relu	15	0.111693076	0.006068307557	0.1335006813	0.00727510697	111	9.501879513	12.41643253	1.438238346	0.0143615856	0.0006776390953	0.2993594753	0.02494669826	0.07848322327	0.02077667473	0.5312394433	0.02105427403	{'10': 6, '0.01': 3, '0.1': 3, '1': 3}
v1_abs_act	15	0.1137893953	0.009513530303	0.1359413667	0.01132972928	116.2	7.002040519	13.2252278	1.368417725	0.01549359513	0.0006222673777	0.310064516	0.02032813659	0.08266442973	0.0208668616	0.4385501853	0.02061868072	{'0.01': 3, '1': 4, '0.1': 3, '0': 3, '10': 2}
v1_relu	15	0.1173666709	0.01198139646	0.1403024777	0.01433094623	112.0666667	6.839660253	13.12256009	1.226187823	0.01436762187	0.0005374543677	0.307915677	0.02293914463	0.08271863104	0.02061728126	0.5325141938	0.01614653372	{'10.0': 3, '0.0': 4, '1.0': 2, '0.1': 6}
v2_relu	15	0.1266515936	0.03126517072	0.1513828627	0.03725784542	123.2666667	14.10403522	15.31302062	2.828059131	0.015261522	0.002366441537	0.301565512	0.0362268179	0.08168128794	0.02398988667	nan	nan	{'1.0': 4, '0.0': 4, '10.0': 2, '0.01': 1, '0.1': 4}
