activation,family,variant,seeds,mean_score,std_score,mean_h1,std_h1,mean_neurons,std_neurons
softplus_b0_25,Softplus,beta=0.25,"42,43,44,45,46",6.566889434826338,0.29422182220264514,0.29155084117886015,0.023031767777201364,22.6,1.51657508881031
mish_b0_15,Mish,beta=0.15,"42,43,44,45,46",7.622535922265096,2.0093576217303086,0.21118416527802344,0.017027385084980595,36.4,10.597169433391164
gelu_b0_25,GELU,beta=0.25,"42,43,44,45,46",9.318206399465899,0.2118547233128987,0.19669116027567507,0.006436216482385263,47.4,1.3416407864998738
smoothy_relu_w0_25,SmoothReLU,w=0.25,"42,43,44,45,46",16.428935870496403,6.51038384728921,0.11634213704387368,0.045111752341746664,140.8,3.1144823004794873
relu,ReLU,baseline,"42,43,44,45,46",23.209651574287143,4.967679379203754,0.21170247724896013,0.029454411319304222,110.8,24.014578905323326
