activation,family,variant,d1_min,d1_max,d1_mean,d1_std,frac_negative_slope,frac_near_zero_slope,curvature_l1,curvature_peak,curvature_width_10pct
softplus_b0_15,Softplus,beta=0.15,0.28905049737499605,0.7109495026250039,0.5,0.12497553991640813,0.0,0.0,0.03515716716339034,0.0375,1.0
softplus_b0_25,Softplus,beta=0.25,0.18242552380635632,0.8175744761936437,0.5,0.19570213093847244,0.0,0.0,0.05292516898653525,0.0625,1.0
softplus_b0_5,Softplus,beta=0.5,0.04742587317756679,0.9525741268224333,0.5000000000000001,0.31491010466979374,0.0,0.0,0.07541581298842977,0.125,1.0
gelu_b0_25,GELU,beta=0.25,-0.12890412815954227,1.1289041281595422,0.5,0.47406017230445296,0.24943764058985254,0.0014996250937265683,0.10503228735440548,0.19947114020071632,0.8330417395651087
mish_b0_15,Mish,beta=0.15,0.9071880613614328,1.00002962755204,0.989520973351339,0.020468425180180987,0.0,0.0,0.007744371749310853,0.05697195244648778,0.2934266433391652
relu,ReLU,baseline,0.0,1.0,0.49987503124218946,0.4999999843828093,0.0,0.5001249687578105,0.0,1e-30,0.0
smoothy_relu_w0_25,SmoothReLU,w=0.25,0.0,1.9959999999999996,0.5208697825543614,0.5133545052662519,0.0,0.4791302174456386,0.1669582604348913,4.0,0.04173956510872282
